,class_full,parent_class
20,001_绿叶蔬菜,00_蔬菜水果
22,002_根茎蔬菜,00_蔬菜水果
97,003_水果蔬菜,00_蔬菜水果
95,004_包装蔬菜,00_蔬菜水果
116,005_菇类蔬菜,00_蔬菜水果
167,006_无毒蔬菜,00_蔬菜水果
24,007_新鲜水果,00_蔬菜水果
72,008_豆制品,00_蔬菜水果
150,009_花卉园艺,16_家居用品
88,010_茶叶,02_散装食品
84,011_猪肉,01_鸡鸭鱼肉
93,012_牛肉,01_鸡鸭鱼肉
170,013_羊肉,01_鸡鸭鱼肉
69,014_鸡肉,01_鸡鸭鱼肉
90,015_鸭肉,01_鸡鸭鱼肉
148,017_其它禽类,01_鸡鸭鱼肉
98,018_熏腌肉,01_鸡鸭鱼肉
63,019_西式加工肉,01_鸡鸭鱼肉
36,020_其他肉类,01_鸡鸭鱼肉
131,021_活水产,01_鸡鸭鱼肉
60,022_冷冻水产,01_鸡鸭鱼肉
64,023_干水产类,01_鸡鸭鱼肉
78,024_冰鲜水产,01_鸡鸭鱼肉
75,025_坚果,02_散装食品
18,026_杂粮,02_散装食品
117,027_调味料,04_烹饪辅料
48,028_散卖小吃,02_散装食品
49,029_冷藏点心,02_散装食品
26,031_面包,02_散装食品
96,032_蛋糕和西点,02_散装食品
74,033_熟食,02_散装食品
85,034_酱菜,02_散装食品
184,035_进口冷冻品,02_散装食品
168,036_冷冻果蔬,02_散装食品
34,037_冷冻点心,02_散装食品
132,038_已处理冷冻品,02_散装食品
82,039_冰品,02_散装食品
164,040_包装火锅类,02_散装食品
126,041_冷冻微波食品,02_散装食品
102,042_低温鲜奶,03_蛋奶制品
73,043_低温酸奶,03_蛋奶制品
39,044_奶酪黄油,03_蛋奶制品
27,045_低温饮品,03_蛋奶制品
106,046_利乐枕奶,03_蛋奶制品
4,047_蛋品,03_蛋奶制品
50,048_利乐砖奶,03_蛋奶制品
89,049_乳饮料,03_蛋奶制品
53,050_烹调油/汁,04_烹饪辅料
17,051_调味品,04_烹饪辅料
25,052_酱料,04_烹饪辅料
40,053_酱油/醋,04_烹饪辅料
133,054_果酱,04_烹饪辅料
52,055_面粉,04_烹饪辅料
83,056_烘培辅料,04_烹饪辅料
0,057_罐头食品,02_散装食品
16,058_面食,05_主食
61,059_即食面,05_主食
28,060_大米,05_主食
37,061_dried 蔬果,00_蔬菜水果
140,062_宠物狗,07_宠物用品
176,063_宠物猫,07_宠物用品
142,064_其它宠物,07_宠物用品
108,066_谷类食品,02_散装食品
114,067_蜂蜜/营养茶,02_散装食品
57,068_即食早餐,02_散装食品
124,069_婴儿食品,06_母婴用品
5,070_婴儿奶粉,06_母婴用品
111,071_成人奶粉,06_母婴用品
178,072_孕妇奶粉,06_母婴用品
21,073_蛋糕/馅饼,02_散装食品
35,074_饼干/曲奇,02_散装食品
41,075_中国传统点心,02_散装食品
